x, y, z
1034326709, 3436283258, 2767179331
3436283258, 2767179331, 4245429728
2767179331, 4245429728, 1968992097
4245429728, 1968992097, 4281113878
1968992097, 4281113878, 3151313295
4281113878, 3151313295, 2784263324
3151313295, 2784263324, 1148015693
2784263324, 1148015693, 1784932850
1148015693, 1784932850, 2836081435
1784932850, 2836081435, 2834310808
2836081435, 2834310808, 1323978105
2834310808, 1323978105, 1873209358
1323978105, 1873209358, 2603503335
1873209358, 2603503335, 3772168148
2603503335, 3772168148, 1828628197
3772168148, 1828628197, 3105117034
1828628197, 3105117034, 1071878387
3105117034, 1071878387, 2025131088
1071878387, 2025131088, 3411799185
2025131088, 3411799185, 3625330694
3411799185, 3625330694, 2497977663
3625330694, 2497977663, 3679010828
2497977663, 3679010828, 1206250109
3679010828, 1206250109, 3707609570
1206250109, 3707609570, 3544801227
3707609570, 3544801227, 2445192968
3544801227, 2445192968, 3600723113
2445192968, 3600723113, 601832702
3600723113, 601832702, 3776513175
601832702, 3776513175, 1839854916
3776513175, 1839854916, 4208099093
1839854916, 4208099093, 3534665050
4208099093, 3534665050, 4111529891
3534665050, 4111529891, 2588208832
4111529891, 2588208832, 2693000641
2588208832, 2693000641, 3298494198
2693000641, 3298494198, 1488151791
3298494198, 1488151791, 1894430588
1488151791, 1894430588, 3793208493
1894430588, 3793208493, 3735711186
3793208493, 3735711186, 1955772539
3735711186, 1955772539, 752069496
1955772539, 752069496, 2252410841
752069496, 2252410841, 160851438
2252410841, 160851438, 2463997511
160851438, 2463997511, 3658573492
2463997511, 3658573492, 1110252357
3658573492, 1110252357, 1290251082
1110252357, 1290251082, 69927507
1290251082, 69927507, 466273584
69927507, 466273584, 200241905
466273584, 200241905, 3344054758
200241905, 3344054758, 2458259615
3344054758, 2458259615, 2780291820
2458259615, 2780291820, 154002141
2780291820, 154002141, 2152811970
154002141, 2152811970, 1857697067
2152811970, 1857697067, 2229148648
1857697067, 2229148648, 3859576585
2229148648, 3859576585, 1325621982
3859576585, 1325621982, 64953335
1325621982, 64953335, 2475428900
64953335, 2475428900, 2690218869
2475428900, 2690218869, 1380332858
2690218869, 1380332858, 1562685699
1380332858, 1562685699, 3029700512
1562685699, 3029700512, 318340129
3029700512, 318340129, 3054682326
318340129, 3054682326, 165617743
3054682326, 165617743, 2983182940
165617743, 2983182940, 3448980749
2983182940, 3448980749, 3256435122
3448980749, 3256435122, 2882721243
3256435122, 2882721243, 3654090840
2882721243, 3654090840, 75227705
3654090840, 75227705, 1839018958
75227705, 1839018958, 2613083559
1839018958, 2613083559, 3101222292
2613083559, 3101222292, 2766315429
3101222292, 2766315429, 4103164714
2766315429, 4103164714, 1345389491
4103164714, 1345389491, 2301906448
1345389491, 2301906448, 3644655953
2301906448, 3644655953, 703830982
3644655953, 703830982, 1921094655
703830982, 1921094655, 915494348
1921094655, 915494348, 2314398525
915494348, 2314398525, 2204715426
2314398525, 2204715426, 3459226251
2204715426, 3459226251, 282024136
3459226251, 282024136, 2789888361
282024136, 2789888361, 437967038
2789888361, 437967038, 2254750551
437967038, 2254750551, 2314662660
2254750551, 2314662660, 1100187605
2314662660, 1100187605, 483394842
1100187605, 483394842, 1036188259
483394842, 1036188259, 2608201856
1036188259, 2608201856, 3499432577
2608201856, 3499432577, 1867238070
3499432577, 1867238070, 477129647
1867238070, 477129647, 2929433916
477129647, 2929433916, 322426221
2929433916, 322426221, 1927832978
322426221, 1927832978, 3764618043
1927832978, 3764618043, 609494328
3764618043, 609494328, 1987232921
609494328, 1987232921, 879972782
