x, y, z
1090328108, 698880592, 844445709
698880592, 844445709, 851715432
844445709, 851715432, 1728679904
851715432, 1728679904, 335574505
1728679904, 335574505, 47781534
335574505, 47781534, 64990836
47781534, 64990836, 1846519936
64990836, 1846519936, 2055061921
1846519936, 2055061921, 1181882720
2055061921, 1181882720, 610210918
1181882720, 610210918, 605520526
610210918, 605520526, 1828874876
605520526, 1828874876, 713894873
1828874876, 713894873, 1896814821
713894873, 1896814821, 1035450999
1896814821, 1035450999, 1720772451
1035450999, 1720772451, 886999908
1720772451, 886999908, 1991088829
886999908, 1991088829, 1218243174
1991088829, 1218243174, 1271546353
1218243174, 1271546353, 1583890756
1271546353, 1583890756, 1277882382
1583890756, 1277882382, 340185094
1277882382, 340185094, 1414707512
340185094, 1414707512, 1513820799
1414707512, 1513820799, 1217732060
1513820799, 1217732060, 221882576
1217732060, 221882576, 992878507
221882576, 992878507, 1845861298
992878507, 1845861298, 326718081
1845861298, 326718081, 2036068030
326718081, 2036068030, 1303287528
2036068030, 1303287528, 458825223
1303287528, 458825223, 953487922
458825223, 953487922, 945960358
953487922, 945960358, 507654857
945960358, 507654857, 71706330
507654857, 71706330, 1740100113
71706330, 1740100113, 1844669512
1740100113, 1844669512, 780074544
1844669512, 780074544, 1000046926
780074544, 1000046926, 2127747680
1000046926, 2127747680, 807876211
2127747680, 807876211, 837035308
807876211, 837035308, 1774017810
837035308, 1774017810, 555798738
1774017810, 555798738, 447680027
555798738, 447680027, 1982127203
447680027, 1982127203, 275807575
1982127203, 275807575, 1256325072
275807575, 1256325072, 1276842879
1256325072, 1276842879, 1701943309
1276842879, 1701943309, 371069107
1701943309, 371069107, 1863248017
371069107, 1863248017, 2082408600
1863248017, 2082408600, 530981824
2082408600, 530981824, 806299359
530981824, 806299359, 2030223708
806299359, 2030223708, 512378023
2030223708, 512378023, 430385734
512378023, 430385734, 392964836
430385734, 392964836, 82544605
392964836, 82544605, 928462770
82544605, 928462770, 1990141427
928462770, 1990141427, 583357819
1990141427, 583357819, 1459701485
583357819, 1459701485, 164440718
1459701485, 164440718, 618339266
164440718, 618339266, 2126983080
618339266, 2126983080, 407091610
2126983080, 407091610, 1243736260
407091610, 1243736260, 1340170928
1243736260, 1340170928, 593483260
1340170928, 593483260, 598592480
593483260, 598592480, 265131695
598592480, 265131695, 1316996872
265131695, 1316996872, 797606171
1316996872, 797606171, 1160656925
797606171, 1160656925, 369560092
1160656925, 369560092, 2036028950
369560092, 2036028950, 1564340495
2036028950, 1564340495, 312554684
1564340495, 312554684, 1254531189
312554684, 1254531189, 583662466
1254531189, 583662466, 1132931293
583662466, 1132931293, 2055373548
1132931293, 2055373548, 1192044108
2055373548, 1192044108, 1484299550
1192044108, 1484299550, 2126663189
1484299550, 2126663189, 2145502325
2126663189, 2145502325, 996369853
2145502325, 996369853, 725415951
996369853, 725415951, 1832506386
725415951, 1832506386, 2064338676
1832506386, 2064338676, 156041102
2064338676, 156041102, 1034884613
156041102, 1034884613, 150557609
1034884613, 150557609, 481682591
150557609, 481682591, 494904092
481682591, 494904092, 907335704
494904092, 907335704, 72787219
907335704, 72787219, 228601857
72787219, 228601857, 1069260961
228601857, 1069260961, 1673876433
1069260961, 1673876433, 617078968
1673876433, 617078968, 1420680438
617078968, 1420680438, 2070123047
1420680438, 2070123047, 200539533
2070123047, 200539533, 1535000414
200539533, 1535000414, 1376711753
1535000414, 1376711753, 1371572648
1376711753, 1371572648, 262454598
1371572648, 262454598, 939866405
262454598, 939866405, 551709233
939866405, 551709233, 611679696
551709233, 611679696, 637943013
611679696, 637943013, 1379166190
637943013, 1379166190, 1738100490
1379166190, 1738100490, 1957631794
1738100490, 1957631794, 1121409233
1957631794, 1121409233, 2072279861
1121409233, 2072279861, 1232893071
2072279861, 1232893071, 1914604577
1232893071, 1914604577, 771304075
1914604577, 771304075, 695016286
771304075, 695016286, 1141608072
695016286, 1141608072, 2132861492
1141608072, 2132861492, 696075858
2132861492, 696075858, 748600556
696075858, 748600556, 2137594254
748600556, 2137594254, 1517963778
2137594254, 1517963778, 1487492198
1517963778, 1487492198, 1620152213
1487492198, 1620152213, 1455500924
