x, y, z
533507628, 6828883, 3137402
6828883, 3137402, 4895393
3137402, 4895393, 6270152
4895393, 6270152, 1428975
6270152, 1428975, 1316374
1428975, 1316374, 99645
1316374, 99645, 334692
99645, 334692, 4577419
334692, 4577419, 6995122
4577419, 6995122, 1755097
6995122, 1755097, 8190464
1755097, 8190464, 3691303
8190464, 3691303, 7590734
3691303, 7590734, 5667445
7590734, 5667445, 477340
5667445, 477340, 2964931
477340, 2964931, 7297514
2964931, 7297514, 7642385
7297514, 7642385, 6555448
7642385, 6555448, 6592607
6555448, 6592607, 1921158
6592607, 1921158, 3485613
1921158, 3485613, 5453268
3485613, 5453268, 1991419
5453268, 1991419, 4044578
1991419, 4044578, 5780041
4044578, 5780041, 1365104
5780041, 1365104, 1744279
1365104, 1744279, 1084862
1744279, 1084862, 1942757
1084862, 1942757, 6873868
1942757, 6873868, 1656883
6873868, 1656883, 5624922
1656883, 5624922, 4556673
5624922, 4556673, 1008040
4556673, 1008040, 5923535
1008040, 5923535, 5081846
5923535, 5081846, 1038877
5081846, 1038877, 4739140
1038877, 4739140, 1961323
4739140, 1961323, 3649938
1961323, 3649938, 3972281
3649938, 3972281, 5484256
3972281, 5484256, 2353159
5484256, 2353159, 5523502
2353159, 5523502, 773973
5523502, 773973, 7437692
773973, 7437692, 2904739
7437692, 2904739, 6508234
2904739, 6508234, 4026865
6508234, 4026865, 6405144
4026865, 6405144, 7810367
6405144, 7810367, 2409830
7810367, 2409830, 1148045
2409830, 1148045, 6580916
1148045, 6580916, 4487131
6580916, 4487131, 5811202
4487131, 5811202, 4720425
5811202, 4720425, 3770704
4720425, 3770704, 5517943
3770704, 5517943, 4129438
5517943, 4129438, 2161093
4129438, 2161093, 2168812
2161093, 2168812, 6708499
2168812, 6708499, 1558842
6708499, 1558842, 6052961
1558842, 6052961, 5969544
6052961, 5969544, 3864495
5969544, 3864495, 2293718
3864495, 2293718, 3813117
2293718, 3813117, 2589988
3813117, 2589988, 1180235
2589988, 1180235, 2139762
1180235, 2139762, 8024473
2139762, 8024473, 4613056
8024473, 4613056, 2850023
4613056, 2850023, 5291278
2850023, 5291278, 6104117
5291278, 6104117, 7844444
6104117, 7844444, 4679555
7844444, 4679555, 7553962
4679555, 7553962, 2246353
7553962, 2246353, 8089848
2246353, 8089848, 2474527
8089848, 2474527, 4733510
2474527, 4733510, 645485
4733510, 645485, 1154964
645485, 1154964, 429243
1154964, 429243, 1024226
429243, 1024226, 5495817
1024226, 5495817, 8011312
5495817, 8011312, 2738007
8011312, 2738007, 620414
2738007, 620414, 4214437
620414, 4214437, 7687372
4214437, 7687372, 5206515
7687372, 5206515, 7716378
5206515, 7716378, 995649
7716378, 995649, 4377448
995649, 4377448, 3640463
4377448, 3640463, 1340598
3640463, 1340598, 33757
1340598, 33757, 2275844
33757, 2275844, 2234155
2275844, 2234155, 2464594
2234155, 2464594, 5523065
2464594, 5523065, 5576864
5523065, 5576864, 5181895
5576864, 5181895, 6894062
5181895, 6894062, 4880661
6894062, 4880661, 1697596
4880661, 1697596, 8289379
