x, y, z
1747544727, 1072063564, 1181736029
1072063564, 1181736029, 531835290
1181736029, 531835290, 1561436819
531835290, 1561436819, 280822424
1561436819, 280822424, 1356098233
280822424, 1356098233, 655085254
1356098233, 655085254, 1814781519
655085254, 1814781519, 1162688932
1814781519, 1162688932, 1112113877
1162688932, 1112113877, 1692900018
1112113877, 1692900018, 1600854475
1692900018, 1600854475, 1081595248
1600854475, 1081595248, 2058223793
1081595248, 2058223793, 976370014
2058223793, 976370014, 1368461575
976370014, 1368461575, 1616798204
1368461575, 1616798204, 250773581
1616798204, 250773581, 149296842
250773581, 149296842, 1327841283
149296842, 1327841283, 1370434376
1327841283, 1370434376, 1752522153
1370434376, 1752522153, 372793078
1752522153, 372793078, 187916991
372793078, 187916991, 1269906772
187916991, 1269906772, 2115941573
1269906772, 2115941573, 1669660130
2115941573, 1669660130, 600241467
1669660130, 600241467, 17851424
600241467, 17851424, 54288801
17851424, 54288801, 704290702
54288801, 704290702, 841429879
704290702, 841429879, 1365846956
841429879, 1365846956, 673054781
1365846956, 673054781, 1694937082
673054781, 1694937082, 584259955
1694937082, 584259955, 127197176
584259955, 127197176, 1215360153
127197176, 1215360153, 394353446
1215360153, 394353446, 289235759
394353446, 289235759, 817204484
289235759, 817204484, 593248949
817204484, 593248949, 932810002
593248949, 932810002, 591957163
932810002, 591957163, 1476525776
591957163, 1476525776, 2036129425
1476525776, 2036129425, 1837167038
2036129425, 1837167038, 545444327
1837167038, 545444327, 860995932
545444327, 860995932, 736189485
860995932, 736189485, 282588458
736189485, 282588458, 1092759267
282588458, 1092759267, 208216232
1092759267, 208216232, 983963529
208216232, 983963529, 282706774
983963529, 282706774, 1891655583
282706774, 1891655583, 1929717940
1891655583, 1929717940, 986786981
1929717940, 986786981, 860375106
986786981, 860375106, 14082075
860375106, 14082075, 61318528
14082075, 61318528, 600733569
61318528, 600733569, 1444425710
600733569, 1444425710, 117107799
1444425710, 117107799, 1327702796
117107799, 1327702796, 233542685
1327702796, 233542685, 534570586
233542685, 534570586, 1658421331
534570586, 1658421331, 786885976
1658421331, 786885976, 1051975289
786885976, 1051975289, 1257543558
1051975289, 1257543558, 670259215
1257543558, 670259215, 302714980
670259215, 302714980, 520909461
302714980, 520909461, 2004103026
520909461, 2004103026, 1729687435
2004103026, 1729687435, 253515824
1729687435, 253515824, 1997548657
253515824, 1997548657, 802380318
1997548657, 802380318, 329679559
802380318, 329679559, 1185435836
329679559, 1185435836, 195799053
1185435836, 195799053, 207127434
195799053, 207127434, 8392131
207127434, 8392131, 1653163528
8392131, 1653163528, 2046378345
1653163528, 2046378345, 558159798
2046378345, 558159798, 818760831
558159798, 818760831, 1039287316
818760831, 1039287316, 1818039429
1039287316, 1818039429, 599802530
1818039429, 599802530, 2020981499
599802530, 2020981499, 37426912
2020981499, 37426912, 90242401
37426912, 90242401, 1904570446
90242401, 1904570446, 677156151
1904570446, 677156151, 1147947628
677156151, 1147947628, 475043837
1147947628, 475043837, 1733151930
475043837, 1733151930, 1113380659
1733151930, 1113380659, 1871391416
