x, y, z
-2023332688, -16387198797, -7686285142
-16387198797, -7686285142, -2856518459
-7686285142, -2856518459, -10462561164
-2856518459, -10462561164, 9417292135
-10462561164, 9417292135, -14011298162
9417292135, -14011298162, 1818340121
-14011298162, 1818340121, 9928327544
1818340121, 9928327544, -4992484773
9928327544, -4992484773, -7047701582
-4992484773, -7047701582, -11890650195
-7047701582, -11890650195, 12233562044
-11890650195, 12233562044, -11117688945
12233562044, -11117688945, 16678126614
-11117688945, 16678126614, 2270128769
16678126614, 2270128769, 15160091456
2270128769, 15160091456, -8127859453
15160091456, -8127859453, 13743639482
-8127859453, 13743639482, -6507125867
13743639482, -6507125867, -6123108348
-6507125867, -6123108348, -11463141705
-6123108348, -11463141705, 694957726
-11463141705, 694957726, 6830879465
694957726, 6830879465, 11259193864
6830879465, 11259193864, -16801808213
11259193864, -16801808213, -3316266814
-16801808213, -3316266814, -3073389443
-3316266814, -3073389443, -3637613236
-3073389443, -3637613236, -933460257
-3637613236, -933460257, -4783323610
-933460257, -4783323610, -11806514095
-4783323610, -11806514095, 16838129104
-11806514095, 16838129104, 8585379155
16838129104, 8585379155, -8071597366
8585379155, -8071597366, -14676677019
-8071597366, -14676677019, 16178243476
-14676677019, 16178243476, 13298415623
16178243476, 13298415623, -2422254930
13298415623, -2422254930, -16042041671
-2422254930, -16042041671, 10675299992
-16042041671, 10675299992, -14187787525
10675299992, -14187787525, 5196130770
-14187787525, 5196130770, 2940561741
5196130770, 2940561741, 2600785628
2940561741, 2600785628, 14566001199
2600785628, 14566001199, -11235460042
14566001199, -11235460042, 9096299041
-11235460042, 9096299041, -3248104352
9096299041, -3248104352, -11828229725
-3248104352, -11828229725, 16164277722
-11828229725, 16164277722, -15477138123
16164277722, -15477138123, 6080551716
-15477138123, 6080551716, 3997408599
6080551716, 3997408599, 14759682750
3997408599, 14759682750, -7691866487
14759682750, -7691866487, -2383497432
-7691866487, -2383497432, -1910105781
-2383497432, -1910105781, -12529942814
-1910105781, -12529942814, 11766655517
-12529942814, 11766655517, -15626824596
11766655517, -15626824596, 6597087615
-15626824596, 6597087615, 5088060998
6597087615, 5088060998, 2555069425
5088060998, 2555069425, 1847252720
2555069425, 1847252720, 4609202675
1847252720, 4609202675, 10345159914
4609202675, 10345159914, -11914448891
10345159914, -11914448891, 13739369140
-11914448891, 13739369140, -4008376665
13739369140, -4008376665, -10010499378
-4008376665, -10010499378, 1269604953
-10010499378, 1269604953, 11640396728
1269604953, 11640396728, -10527609957
11640396728, -10527609957, 11358406642
-10527609957, 11358406642, -5603635475
11358406642, -5603635475, -13908990468
-5603635475, -13908990468, 4127562959
-13908990468, 4127562959, 3253519446
4127562959, 3253519446, 5001849281
3253519446, 5001849281, 10136675712
5001849281, 10136675712, -626692541
10136675712, -626692541, -9070960646
-626692541, -9070960646, 11665909461
-9070960646, 11665909461, -13915767228
11665909461, -13915767228, 12194345975
-13915767228, 12194345975, -11456258338
12194345975, -11456258338, 14258960937
-11456258338, 14258960937, -5485620152
14258960937, -5485620152, -13451755029
-5485620152, -13451755029, 11926603010
-13451755029, 11926603010, -1938974787
11926603010, -1938974787, -460190836
-1938974787, -460190836, -7860474849
-460190836, -7860474849, -7320185242
-7860474849, -7320185242, -7994854511
-7320185242, -7994854511, -2460317680
-7994854511, -2460317680, -6766967149
-2460317680, -6766967149, -1513040118
-6766967149, -1513040118, -14305607259
-1513040118, -14305607259, 9752751572
-14305607259, 9752751572, -12892871353
9752751572, -12892871353, 1631734510
-12892871353, 1631734510, 3491362297
1631734510, 3491362297, 3084968152
3491362297, 3084968152, 1381129275
3084968152, 1381129275, 6469400082
1381129275, 6469400082, 16577512589
6469400082, 16577512589, 9244755228
16577512589, 9244755228, -1129070737
9244755228, -1129070737, -5247804298
-1129070737, -5247804298, -6571269791
-5247804298, -6571269791, -12456608096
-6571269791, -12456608096, 5988442851
-12456608096, 5988442851, 12072108570
5988442851, 12072108570, -4909744011
12072108570, -4909744011, -12910988956
-4909744011, -12910988956, 90200727
-12910988956, 90200727, 2498603774
90200727, 2498603774, 16549418441
2498603774, 16549418441, 9830252904
16549418441, 9830252904, -5802689909
9830252904, -5802689909, -16889832670
-5802689909, -16889832670, -1867131555
-16889832670, -1867131555, -13703327060
-1867131555, -13703327060, 11258418879
-13703327060, 11258418879, -12743879034
11258418879, -12743879034, 2432021297
-12743879034, 2432021297, 14963738928
2432021297, 14963738928, -6611614925
14963738928, -6611614925, -16152010454
-6611614925, -16152010454, 3578340165
-16152010454, 3578340165, 16516614388
3578340165, 16516614388, 10416673767
16516614388, 10416673767, -14651588850
10416673767, -14651588850, 8074156441
-14651588850, 8074156441, 12650001912
8074156441, 12650001912, -9308054309
12650001912, -9308054309, 12738475058
-9308054309, 12738475058, -9492116947
12738475058, -9492116947, 2437100604
-9492116947, 2437100604, 10639241743
2437100604, 10639241743, -13749926762
10639241743, -13749926762, 4729547009
-13749926762, 4729547009, 3807340480
4729547009, 3807340480, 7386457987
3807340480, 7386457987, 11155551290
7386457987, 11155551290, -9677280747
11155551290, -9677280747, 16997479556
-9677280747, 16997479556, 4643606839
16997479556, 4643606839, 4267296542
4643606839, 4267296542, 15053373801
4267296542, 15053373801, -9963061624
15053373801, -9963061624, 10356818731
-9963061624, 10356818731, -17009442494
10356818731, -17009442494, -5757099267
-17009442494, -5757099267, -16633894452
-5757099267, -16633894452, -8726703777
-16633894452, -8726703777, 7679288998
-8726703777, 7679288998, 7850410705
7679288998, 7850410705, 5910616656
7850410705, 5910616656, 12799594451
5910616656, 12799594451, -6815761590
12799594451, -6815761590, -16518867739
-6815761590, -16518867739, -11854203884
-16518867739, -11854203884, 6544118407
-11854203884, 6544118407, 5988188974
6544118407, 5988188974, 5692476729
5988188974, 5692476729, 10866842392
5692476729, 10866842392, -5191930501
10866842392, -5191930501, -14935195054
-5191930501, -14935195054, 4782186445
-14935195054, 4782186445, 11805913948
4782186445, 11805913948, -3954953041
11805913948, -3954953041, -5370250058
-3954953041, -5370250058, -15501590367
-5370250058, -15501590367, 10082181344
-15501590367, 10082181344, -3975578589
10082181344, -3975578589, -7982320038
-3975578589, -7982320038, -9319799883
-7982320038, -9319799883, 12643944356
-9319799883, 12643944356, -16039716905
12643944356, -16039716905, 6252901182
-16039716905, 6252901182, 3163225353
6252901182, 3163225353, 591268776
3163225353, 591268776, 10991836107
591268776, 10991836107, -3837380766
10991836107, -3837380766, -14101184355
-3837380766, -14101184355, 12089250028
-14101184355, 12089250028, -2453382145
12089250028, -2453382145, -14899657018
-2453382145, -14899657018, 4890714737
-14899657018, 4890714737, 8943270768
4890714737, 8943270768, -12145726349
8943270768, -12145726349, 9563825514
-12145726349, 9563825514, -1789880699
9563825514, -1789880699, -16219492556
-1789880699, -16219492556, -3825802969
-16219492556, -3825802969, -8703682738
-3825802969, -8703682738, 3194048729
-8703682738, 3194048729, 5646471224
3194048729, 5646471224, 7713295899
5646471224, 7713295899, 8605868146
7713295899, 8605868146, -2261613203
8605868146, -2261613203, -15496510852
-2261613203, -15496510852, 2499184463
-15496510852, 2499184463, 4897113302
2499184463, 4897113302, 8319297601
4897113302, 8319297601, -2951304704
8319297601, -2951304704, -16783007549
-2951304704, -16783007549, -12176619398
-16783007549, -12176619398, 4579093845
-12176619398, 4579093845, 3003181764
4579093845, 3003181764, 14861528695
3003181764, 14861528695, -8870727842
14861528695, -8870727842, 11919444137
-8870727842, 11919444137, -5994141496
11919444137, -5994141496, -15517432725
-5994141496, -15517432725, 4335517058
-15517432725, 4335517058, 15625088573
4335517058, 15625088573, -883357684
15625088573, -883357684, -15624325473
-883357684, -15624325473, 12067124966
-15624325473, 12067124966, -12970782191
12067124966, -12970782191, 3367529616
-12970782191, 3367529616, 15531546899
3367529616, 15531546899, -1863196790
15531546899, -1863196790, -14651709403
-1863196790, -14651709403, 4377573972
-14651709403, 4377573972, 2743107527
4377573972, 2743107527, 15382477678
2743107527, 15382477678, -2169969543
15382477678, -2169969543, -670165672
-2169969543, -670165672, -11438080325
-670165672, -11438080325, 15309606546
-11438080325, 15309606546, -10614064371
15309606546, -10614064371, 624779676
-10614064371, 624779676, 5002029551
624779676, 5002029551, 13131013366
5002029551, 13131013366, -1701781535
13131013366, -1701781535, -13675150560
-1701781535, -13675150560, 7726355811
-13675150560, 7726355811, 934570650
7726355811, 934570650, 12585617141
934570650, 12585617141, -2478711324
12585617141, -2478711324, -7763487465
-2478711324, -7763487465, -10849551490
-7763487465, -10849551490, 15521293385
-10849551490, 15521293385, -9762269720
15521293385, -9762269720, 8933768459
-9762269720, 8933768459, -5077331038
8933768459, -5077331038, -11425649699
-5077331038, -11425649699, 8336445228
-11425649699, 8336445228, -7438917313
8336445228, -7438917313, -9663023354
-7438917313, -9663023354, 4717629873
-9663023354, 4717629873, 3721375152
4717629873, 3721375152, 1214731699
3721375152, 1214731699, 624437674
1214731699, 624437674, 13542246853
624437674, 13542246853, -15879498380
13542246853, -15879498380, 9488838247
-15879498380, 9488838247, -1926926450
9488838247, -1926926450, -14155053031
-1926926450, -14155053031, 14457645688
-14155053031, 14457645688, -9472245925
14457645688, -9472245925, 15842659506
-9472245925, 15842659506, -13083508563
15842659506, -13083508563, 6919426236
-13083508563, 6919426236, 632773775
6919426236, 632773775, 713458966
632773775, 713458966, 6531049345
713458966, 6531049345, 4695993408
6531049345, 4695993408, 6913202691
4695993408, 6913202691, 11500133562
6913202691, 11500133562, -6814388075
11500133562, -6814388075, -5294382844
-6814388075, -5294382844, -1590539337
-5294382844, -1590539337, -16338626658
-1590539337, -16338626658, -8543629335
-16338626658, -8543629335, 16558773000
-8543629335, 16558773000, 3066643883
16558773000, 3066643883, 3991419330
3066643883, 3991419330, 7534836093
3991419330, 7534836093, 8946214476
7534836093, 8946214476, -13801972769
8946214476, -13801972769, 243926822
-13801972769, 243926822, 2174329169
243926822, 2174329169, 16825269968
2174329169, 16825269968, 10878657107
16825269968, 10878657107, -10709679158
