x, y, z
-1388861739, -1253097916, -1483803657
-1253097916, -1483803657, -567517474
-1483803657, -567517474, -3029435863
-567517474, -3029435863, -456584120
-3029435863, -456584120, -133791253
-456584120, -133791253, -2812902142
-133791253, -2812902142, -2122475587
-2812902142, -2122475587, -1624044660
-2122475587, -1624044660, -733828065
-1624044660, -733828065, -3263965594
-733828065, -3263965594, -1880083567
-3263965594, -1880083567, -1195669488
-1880083567, -1195669488, -3250043245
-1195669488, -3250043245, -3023710454
-3250043245, -3023710454, -3505274459
-3023710454, -3505274459, -2427441708
-3505274459, -2427441708, -2015468217
-2427441708, -2015468217, -1421391122
-2015468217, -1421391122, -821955079
-1421391122, -821955079, -94248744
-821955079, -94248744, -1287496645
-94248744, -1287496645, -1685047790
-1287496645, -1685047790, -3791076211
-1685047790, -3791076211, -3088530148
-3791076211, -3088530148, -3018080401
-3088530148, -3018080401, -1191584650
-3018080401, -1191584650, -919969439
-1191584650, -919969439, -4116169056
-919969439, -4116169056, -3008339229
-4116169056, -3008339229, -3808247270
-3008339229, -3808247270, -1426374539
-3808247270, -1426374539, -2186088092
-1426374539, -2186088092, -480748905
-2186088092, -480748905, -571299074
-480748905, -571299074, -592177719
-571299074, -592177719, -2127642264
-592177719, -2127642264, -3553494389
-2127642264, -3553494389, -1312908510
-3553494389, -1312908510, -2725915299
-1312908510, -2725915299, -195505492
-2725915299, -195505492, -3437898049
-195505492, -3437898049, -1205021050
-3437898049, -1205021050, -3151121615
-1205021050, -3151121615, -2402711248
-3151121615, -2402711248, -775240909
-2402711248, -775240909, -1338449622
-775240909, -1338449622, -1362549947
-1338449622, -1362549947, -889681676
-1362549947, -889681676, -3246795801
-889681676, -3246795801, -3813179634
-3246795801, -3813179634, -454436455
-3813179634, -454436455, -67062280
-454436455, -67062280, -2711462693
-67062280, -2711462693, -3821358030
-2711462693, -3821358030, -2685810131
-3821358030, -2685810131, -2807811012
-2685810131, -2807811012, -3476164081
-2807811012, -3476164081, -130693994
-3476164081, -130693994, -1384175359
-130693994, -1384175359, -3329202240
-1384175359, -3329202240, -431724669
-3329202240, -431724669, -1352584134
-431724669, -1352584134, -2674890219
-1352584134, -2674890219, -2266893180
-2674890219, -2266893180, -2281713353
-2266893180, -2281713353, -10565858
-2281713353, -10565858, -2075639447
-10565858, -2075639447, -2534883704
-2075639447, -2534883704, -744455381
-2534883704, -744455381, -1315077822
-744455381, -1315077822, -3130416387
-1315077822, -3130416387, -3621000756
-3130416387, -3621000756, -283045537
-3621000756, -283045537, -3498203482
-283045537, -3498203482, -974929199
-3498203482, -974929199, -2303862192
-974929199, -2303862192, -2801119277
-2303862192, -2801119277, -1581991094
-2801119277, -1581991094, -2975460123
-1581991094, -2975460123, -2408565740
-2975460123, -2408565740, -3877154169
-2408565740, -3877154169, -3775823058
-3877154169, -3775823058, -2890642119
