x, y, z
1994304553, 609739985, 1909582092
609739985, 1909582092, 2134744283
1909582092, 2134744283, 229308492
2134744283, 229308492, 167414378
229308492, 167414378, 1281508430
167414378, 1281508430, 555168317
1281508430, 555168317, 744388469
555168317, 744388469, 1633393027
744388469, 1633393027, 663696512
1633393027, 663696512, 938364606
663696512, 938364606, 289306208
938364606, 289306208, 1234939137
289306208, 1234939137, 1393415591
1234939137, 1393415591, 688323066
1393415591, 688323066, 495086634
688323066, 495086634, 1825858763
495086634, 1825858763, 1494280558
1825858763, 1494280558, 1020237307
1494280558, 1020237307, 963081237
1020237307, 963081237, 1991890497
963081237, 1991890497, 653192993
1991890497, 653192993, 1127427948
653192993, 1127427948, 1181133346
1127427948, 1181133346, 214436182
1181133346, 214436182, 435115958
214436182, 435115958, 757847284
435115958, 757847284, 1391134357
757847284, 1391134357, 729385278
1391134357, 729385278, 1903450465
729385278, 1903450465, 97629922
1903450465, 97629922, 390144991
97629922, 390144991, 1567324690
390144991, 1567324690, 1852926578
1567324690, 1852926578, 1007059888
1852926578, 1007059888, 1200274779
1007059888, 1200274779, 2017374035
1200274779, 2017374035, 194489309
2017374035, 194489309, 794159672
194489309, 794159672, 737511373
794159672, 737511373, 1757180755
737511373, 1757180755, 583001055
1757180755, 583001055, 243399185
583001055, 243399185, 2061265551
243399185, 2061265551, 1551925668
2061265551, 1551925668, 2130108974
1551925668, 2130108974, 312744054
2130108974, 312744054, 813057909
312744054, 813057909, 397343107
813057909, 397343107, 1437758602
397343107, 1437758602, 2037632515
1437758602, 2037632515, 1977320316
2037632515, 1977320316, 915456251
1977320316, 915456251, 701656598
915456251, 701656598, 255083058
701656598, 255083058, 1850955837
255083058, 1850955837, 1042533226
1850955837, 1042533226, 561754695
1042533226, 561754695, 625833665
561754695, 625833665, 1619895852
625833665, 1619895852, 906645662
1619895852, 906645662, 860247200
906645662, 860247200, 1695419516
860247200, 1695419516, 1694703357
1695419516, 1694703357, 1707594219
1694703357, 1707594219, 1475558703
1707594219, 1475558703, 1357230697
1475558703, 1357230697, 1339651158
1357230697, 1339651158, 1656082860
1339651158, 1656082860, 255279518
1656082860, 255279518, 1847419557
255279518, 1847419557, 1106186266
1847419557, 1106186266, 1563483622
1106186266, 1563483622, 1922065802
1563483622, 1922065802, 1910037503
1922065802, 1910037503, 2126546885
1910037503, 2126546885, 376861656
2126546885, 376861656, 1806424720
376861656, 1806424720, 1844093332
1806424720, 1844093332, 1166058316
1844093332, 1166058316, 485786722
1166058316, 485786722, 1993257179
485786722, 1993257179, 628592717
1993257179, 628592717, 1570232916
628592717, 1570232916, 1800578510
1570232916, 1800578510, 1949325112
1800578510, 1949325112, 1419369923
1949325112, 1419369923, 221145090
1419369923, 221145090, 314355614
221145090, 314355614, 784049829
314355614, 784049829, 919488547
784049829, 919488547, 629075270
919488547, 629075270, 1561546962
629075270, 1561546962, 1956925682
1561546962, 1956925682, 1282559663
1956925682, 1282559663, 536246123
1282559663, 536246123, 1084987961
536246123, 1084987961, 1945053112
1084987961, 1945053112, 1496265923
1945053112, 1496265923, 984500737
1496265923, 984500737, 1606339497
984500737, 1606339497, 1150660052
1606339497, 1150660052, 762955474
1150660052, 762955474, 1299186937
762955474, 1299186937, 236955191
1299186937, 236955191, 29773796
236955191, 29773796, 1611555259
29773796, 1611555259, 1056776336
1611555259, 1056776336, 305378715
1056776336, 305378715, 945634011
305378715, 945634011, 158456918
945634011, 158456918, 1442742710
158456918, 1442742710, 1947918571
1442742710, 1947918571, 1444687661
1947918571, 1444687661, 1912909453
1444687661, 1912909453, 2074851785
1912909453, 2074851785, 1307373456
2074851785, 1307373456, 89597849
1307373456, 89597849, 534722305
89597849, 534722305, 1112416685
534722305, 1112416685, 1451336080
1112416685, 1451336080, 1793237911
1451336080, 1793237911, 2081455894
1793237911, 2081455894, 1188499494
2081455894, 1188499494, 81845518
1188499494, 81845518, 674264263
81845518, 674264263, 748145088
674264263, 748145088, 1565773885
748145088, 1565773885, 1880841068
1565773885, 1880841068, 504599068
1880841068, 504599068, 1654634951
504599068, 1654634951, 281341880
1654634951, 281341880, 1378297041
281341880, 1378297041, 960456966
1378297041, 960456966, 2039127375
960456966, 2039127375, 1950412836
2039127375, 1950412836, 1399790891
1950412836, 1399790891, 573567666
1399790891, 573567666, 413200187
573567666, 413200187, 1152331162
413200187, 1152331162, 732875494
1152331162, 732875494, 1840626577
732875494, 1840626577, 1228459906
1840626577, 1228459906, 1510041749
1228459906, 1510041749, 736535869
1510041749, 736535869, 1774739827
736535869, 1774739827, 266937759
1774739827, 266937759, 1637571219
266937759, 1637571219, 588489056
1637571219, 588489056, 144615167
588489056, 144615167, 1691894228
144615167, 1691894228, 1758158541
1691894228, 1758158541, 565400907
1758158541, 565400907, 560201849
565400907, 560201849, 653784893
560201849, 653784893, 1116773748
653784893, 1116773748, 1372908946
1116773748, 1372908946, 1057442676
1372908946, 1057442676, 293384595
1057442676, 293384595, 1161528171
293384595, 1161528171, 567329332
1161528171, 567329332, 525490199
567329332, 525490199, 1278594593
525490199, 1278594593, 607617383
1278594593, 607617383, 1947788928
607617383, 1947788928, 1447021235
1947788928, 1447021235, 1870905121
1447021235, 1870905121, 683446114
1870905121, 683446114, 582871770
683446114, 582871770, 245726315
582871770, 245726315, 2019377211
245726315, 2019377211, 158432141
2019377211, 158432141, 1443188696
158432141, 1443188696, 1939890823
1443188696, 1939890823, 1589187125
1939890823, 1589187125, 1459402748
1589187125, 1459402748, 1648037887
1459402748, 1648037887, 400089032
1648037887, 400089032, 1388331952
400089032, 1388331952, 779828568
1388331952, 779828568, 995471245
779828568, 995471245, 1408870353
995471245, 1408870353, 410137350
1408870353, 410137350, 1207462228
410137350, 1207462228, 1887999953
1207462228, 1887999953, 375739138
1887999953, 375739138, 1826630044
375739138, 1826630044, 1480397500
1826630044, 1480397500, 1270132351
1480397500, 1270132351, 759937739
1270132351, 759937739, 1353506167
759937739, 1353506167, 1406692698
1353506167, 1406692698, 449335140
1406692698, 449335140, 501902008
449335140, 501902008, 1703182031
501902008, 1703182031, 1554978087
1703182031, 1554978087, 2075165432
1554978087, 2075165432, 1301727810
2075165432, 1301727810, 191219477
1301727810, 191219477, 853016648
191219477, 853016648, 1825569452
853016648, 1825569452, 1499488156
1825569452, 1499488156, 926500543
1499488156, 926500543, 502859342
926500543, 502859342, 1685950019
502859342, 1685950019, 1865154303
1685950019, 1865154303, 786960838
1865154303, 786960838, 867090385
786960838, 867090385, 1572242186
867090385, 1572242186, 1764411650
1572242186, 1764411650, 452844945
1764411650, 452844945, 438725518
452844945, 438725518, 692875204
438725518, 692875204, 413148150
692875204, 413148150, 1153267828
413148150, 1153267828, 716015506
1153267828, 716015506, 2144106361
716015506, 2144106361, 60791088
2144106361, 60791088, 1053244003
60791088, 1053244003, 368960709
1053244003, 368960709, 1948641766
368960709, 1948641766, 1431670151
1948641766, 1431670151, 2147224633
1431670151, 2147224633, 4662192
2147224633, 4662192, 2063564131
4662192, 2063564131, 1510551228
2063564131, 1510551228, 727365247
1510551228, 727365247, 1939811023
727365247, 1939811023, 1590623525
1939811023, 1590623525, 1433547548
1590623525, 1433547548, 2113431487
1433547548, 2113431487, 612938820
2113431487, 612938820, 1852003062
612938820, 1852003062, 1023683176
1852003062, 1023683176, 901055595
1023683176, 901055595, 960868406
901055595, 960868406, 2031721455
960868406, 2031721455, 2083719396
2031721455, 2083719396, 1147756458
2083719396, 1147756458, 815220166
1147756458, 815220166, 358422481
815220166, 358422481, 2138329870
358422481, 2138329870, 164767926
2138329870, 164767926, 1329144566
164767926, 1329144566, 1845201516
1329144566, 1845201516, 1146111004
1845201516, 1146111004, 844838338
1146111004, 844838338, 1972779032
844838338, 1972779032, 997199363
1972779032, 997199363, 1377764229
997199363, 1377764229, 970047582
1377764229, 970047582, 1866496287
970047582, 1866496287, 762805126
1866496287, 762805126, 1301893201
762805126, 1301893201, 188242439
1301893201, 188242439, 906603332
188242439, 906603332, 861009140
906603332, 861009140, 1681704596
861009140, 1681704596, 1941571917
1681704596, 1941571917, 1558927433
1941571917, 1558927433, 2004077204
1558927433, 2004077204, 433832267
2004077204, 433832267, 780953722
433832267, 780953722, 975218473
780953722, 975218473, 1773420249
975218473, 1773420249, 290690163
1773420249, 290690163, 1210027947
290690163, 1210027947, 1841817011
1210027947, 1841817011, 1207032094
1841817011, 1207032094, 1895742365
1207032094, 1895742365, 236375722
1895742365, 236375722, 40204238
236375722, 40204238, 1423807303
40204238, 1423807303, 141272250
1423807303, 141272250, 1752066734
141272250, 1752066734, 675053433
1752066734, 675053433, 733940028
