x, y, z
560785165, 34896, 120035
34896, 120035, 26646
120035, 26646, 80873
26646, 80873, 114940
80873, 114940, 62599
114940, 62599, 16754
62599, 16754, 18173
16754, 18173, 113112
18173, 113112, 7571
113112, 7571, 66110
7571, 66110, 24913
66110, 24913, 125060
24913, 125060, 94503
125060, 94503, 12426
94503, 12426, 97957
12426, 97957, 95512
97957, 95512, 4699
95512, 4699, 3486
4699, 3486, 102457
3486, 102457, 67980
102457, 67980, 17655
67980, 17655, 74570
17655, 74570, 21557
74570, 21557, 31096
21557, 31096, 50659
31096, 50659, 129246
50659, 129246, 71641
129246, 71641, 33860
71641, 33860, 42951
33860, 42951, 54618
42951, 54618, 10845
54618, 10845, 31976
10845, 31976, 70971
31976, 70971, 105486
70971, 105486, 61041
105486, 61041, 3100
61041, 3100, 60239
3100, 60239, 78402
60239, 78402, 81893
78402, 81893, 62088
81893, 62088, 35059
62088, 35059, 99198
35059, 99198, 89473
99198, 89473, 38420
89473, 38420, 99311
38420, 99311, 65954
99311, 65954, 102597
65954, 102597, 129272
102597, 129272, 13875
129272, 13875, 33158
13875, 33158, 123617
33158, 123617, 73572
123617, 73572, 118615
73572, 118615, 58042
118615, 58042, 119213
58042, 119213, 73984
119213, 73984, 103067
73984, 103067, 46918
103067, 46918, 1185
46918, 1185, 105420
1185, 105420, 62879
105420, 62879, 4882
62879, 4882, 10613
4882, 10613, 30288
10613, 30288, 77235
30288, 77235, 16606
77235, 16606, 26369
16606, 26369, 117108
26369, 117108, 55191
117108, 55191, 92674
55191, 92674, 83733
92674, 83733, 80112
83733, 80112, 119835
80112, 119835, 15918
119835, 15918, 86273
15918, 86273, 1228
86273, 1228, 51255
1228, 51255, 128946
51255, 128946, 55549
128946, 55549, 41960
55549, 41960, 74067
41960, 74067, 104830
74067, 104830, 111905
104830, 111905, 20812
111905, 20812, 31471
20812, 31471, 3546
31471, 3546, 51893
3546, 51893, 66360
51893, 66360, 38323
66360, 38323, 118310
38323, 118310, 1345
118310, 1345, 60220
1345, 60220, 58559
60220, 58559, 15178
58559, 15178, 127253
15178, 127253, 21208
127253, 21208, 20443
21208, 20443, 127310
20443, 127310, 80737
127310, 80737, 86132
80737, 86132, 66271
86132, 66271, 122290
66271, 122290, 53485
122290, 53485, 87216
53485, 87216, 129795
87216, 129795, 93022
129795, 93022, 86265
93022, 86265, 70716
86265, 70716, 51471
70716, 51471, 698
51471, 698, 49717
698, 49717, 8800
49717, 8800, 97075
8800, 97075, 58958
97075, 58958, 28513
58958, 28513, 49252
28513, 49252, 131759
49252, 131759, 42402
131759, 42402, 33237
42402, 33237, 92896
33237, 92896, 4211
92896, 4211, 74118
4211, 74118, 115633
74118, 115633, 43300
115633, 43300, 65271
43300, 65271, 68650
65271, 68650, 80485
68650, 80485, 56480
80485, 56480, 73075
56480, 73075, 116158
73075, 116158, 4233
116158, 4233, 118324
4233, 118324, 115039
118324, 115039, 59842
115039, 59842, 81309
59842, 81309, 25384
81309, 25384, 50827
25384, 50827, 14558
50827, 14558, 67105
14558, 67105, 37948
67105, 37948, 30967
37948, 30967, 78698
30967, 78698, 65501
78698, 65501, 54096
65501, 54096, 74275
54096, 74275, 46070
74275, 46070, 106289
46070, 106289, 128316
106289, 128316, 48647
128316, 48647, 58970
48647, 58970, 125965
58970, 125965, 48928
125965, 48928, 55219
48928, 55219, 51150
55219, 51150, 82977
51150, 82977, 125612
82977, 125612, 5791
125612, 5791, 131978
5791, 131978, 72973
131978, 72973, 94552
72973, 94552, 6987
94552, 6987, 29406
6987, 29406, 40681
29406, 40681, 40420
40681, 40420, 72135
40420, 72135, 11954
72135, 11954, 29613
11954, 29613, 108256
29613, 108256, 102059
108256, 102059, 62766
102059, 62766, 28401
62766, 28401, 80892
28401, 80892, 327
80892, 327, 129314
327, 129314, 86045
129314, 86045, 32024
86045, 32024, 57411
32024, 57411, 104190
57411, 104190, 23793
104190, 23793, 38092
23793, 38092, 124743
38092, 124743, 74810
124743, 74810, 88213
74810, 88213, 24616
88213, 24616, 133331
24616, 133331, 35294
133331, 35294, 125249
35294, 125249, 15900
125249, 15900, 74551
15900, 74551, 1714
74551, 1714, 98837
1714, 98837, 115824
98837, 115824, 115395
115824, 115395, 127342
115395, 127342, 71697
127342, 71697, 85268
71697, 85268, 41439
85268, 41439, 11162
41439, 11162, 51669
11162, 51669, 129640
51669, 129640, 44371
129640, 44371, 23222
44371, 23222, 106961
23222, 106961, 72932
106961, 72932, 30503
72932, 30503, 75322
30503, 75322, 78029
75322, 78029, 10792
78029, 10792, 4931
10792, 4931, 5174
4931, 5174, 96193
5174, 96193, 22404
96193, 22404, 52327
22404, 52327, 95018
52327, 95018, 26605
95018, 26605, 16824
26605, 16824, 48819
16824, 48819, 111222
48819, 111222, 121321
111222, 121321, 117140
121321, 117140, 46151
117140, 46151, 91810
46151, 91810, 58901
91810, 58901, 103440
58901, 103440, 118019
103440, 118019, 58342
118019, 58342, 849
58342, 849, 65884
849, 65884, 71951
65884, 71951, 131162
71951, 131162, 34581
131162, 34581, 116584
34581, 116584, 102379
116584, 102379, 106822
102379, 106822, 19761
106822, 19761, 101484
19761, 101484, 99151
101484, 99151, 111154
99151, 111154, 106917
111154, 106917, 118976
106917, 118976, 31691
118976, 31691, 42238
31691, 42238, 45953
42238, 45953, 97324
45953, 97324, 64247
97324, 64247, 89018
64247, 89018, 108133
89018, 108133, 44368
108133, 44368, 133315
44368, 133315, 39814
133315, 39814, 125681
39814, 125681, 28316
125681, 28316, 62887
28316, 62887, 69850
62887, 69850, 10397
69850, 10397, 24080
10397, 24080, 83067
24080, 83067, 49766
83067, 49766, 3361
49766, 3361, 28524
3361, 28524, 4127
28524, 4127, 64234
4127, 64234, 117901
64234, 117901, 41256
117901, 41256, 4035
41256, 4035, 123838
4035, 123838, 120385
123838, 120385, 45420
120385, 45420, 71423
45420, 71423, 11410
71423, 11410, 48837
11410, 48837, 122944
48837, 122944, 120835
122944, 120835, 69558
120835, 69558, 59273
69558, 59273, 31964
59273, 31964, 107975
31964, 107975, 105810
107975, 105810, 3125
105810, 3125, 128808
3125, 128808, 10499
128808, 10499, 45686
10499, 45686, 80313
45686, 80313, 4228
80313, 4228, 77719
4228, 77719, 47946
77719, 47946, 13301
47946, 13301, 77664
13301, 77664, 4659
77664, 4659, 82014
4659, 82014, 103537
82014, 103537, 99020
103537, 99020, 122951
99020, 122951, 43226
122951, 43226, 2141
43226, 2141, 70648
2141, 70648, 37067
70648, 37067, 2534
37067, 2534, 35257
2534, 35257, 93684
35257, 93684, 84127
93684, 84127, 52842
84127, 52842, 109197
52842, 109197, 79928
109197, 79928, 104587
79928, 104587, 20886
104587, 20886, 94601
20886, 94601, 1548
94601, 1548, 95311
1548, 95311, 120306
95311, 120306, 76141
120306, 76141, 6328
76141, 6328, 55907
6328, 55907, 125702
55907, 125702, 64401
125702, 64401, 129548
64401, 129548, 103975
129548, 103975, 25706
103975, 25706, 111125
25706, 111125, 5864
111125, 5864, 52531
5864, 52531, 3774
52531, 3774, 21097
3774, 21097, 60204
21097, 60204, 63079
60204, 63079, 15610
63079, 15610, 5213
15610, 5213, 9544
5213, 9544, 88579
9544, 88579, 38870
88579, 38870, 123449
38870, 123449, 53804
123449, 53804, 123151
53804, 123151, 53954
123151, 53954, 131197
53954, 131197, 49904
131197, 49904, 48411
49904, 48411, 24798
48411, 24798, 132337
24798, 132337, 30380
132337, 30380, 17631
30380, 17631, 14122
17631, 14122, 22205
14122, 22205, 49720
22205, 49720, 33163
49720, 33163, 29766
33163, 29766, 6209
29766, 6209, 30700
6209, 30700, 61687
30700, 61687, 5482
61687, 5482, 42797
5482, 42797, 14088
42797, 14088, 15003
14088, 15003, 50638
15003, 50638, 93161
50638, 93161, 4980
93161, 4980, 134191
4980, 134191, 27642
134191, 27642, 102029
