x, y, z
-1467643663, -2105435437, -1571303303
-2105435437, -1571303303, -1216319125
-1571303303, -1216319125, -1746119615
-1216319125, -1746119615, -1677329213
-1746119615, -1677329213, -791349687
-1677329213, -791349687, -389553445
-791349687, -389553445, -1657624431
-389553445, -1657624431, -2144798285
-1657624431, -2144798285, -97653479
-2144798285, -97653479, -610089141
-97653479, -610089141, -634169887
-610089141, -634169887, -461700701
-634169887, -461700701, -1357642519
-461700701, -1357642519, -1843065157
-1357642519, -1843065157, -987091919
-1843065157, -987091919, -72383341
-987091919, -72383341, -140407367
-72383341, -140407367, -190994133
-140407367, -190994133, -2029782143
-190994133, -2029782143, -1869811069
-2029782143, -1869811069, -1540761719
-1869811069, -1540761719, -1006205285
-1540761719, -1006205285, -760310831
-1006205285, -760310831, -1948468365
-760310831, -1948468365, -553045415
-1948468365, -553045415, -814442741
-553045415, -814442741, -2056731359
-814442741, -2056731359, -715436189
-2056731359, -715436189, -814420439
-715436189, -814420439, -595080581
-814420439, -595080581, -535666831
-595080581, -535666831, -5759405
-535666831, -5759405, -1656005895
-5759405, -1656005895, -1294266133
-1656005895, -1294266133, -1451478335
-1294266133, -1451478335, -1355442109
-1451478335, -1355442109, -1511798583
-1355442109, -1511798583, -1166779813
-1511798583, -1166779813, -1984426223
-1166779813, -1984426223, -1405539021
-1984426223, -1405539021, -1310816359
-1405539021, -1310816359, -1657497909
-1310816359, -1657497909, -295123871
-1657497909, -295123871, -1885647581
-295123871, -1885647581, -67836055
-1885647581, -67836055, -616057285
-67836055, -616057285, -938335567
-616057285, -938335567, -85497837
-938335567, -85497837, -657901511
-85497837, -657901511, -1030444885
-657901511, -1030444885, -261555711
-1030444885, -261555711, -885264893
-261555711, -885264893, -810104311
-885264893, -810104311, -1188209125
-810104311, -1188209125, -1985799599
-1188209125, -1985799599, -1220915469
-1985799599, -1220915469, -190714663
-1220915469, -190714663, -893466997
-190714663, -893466997, -1496886367
-893466997, -1496886367, -940115229
-1496886367, -940115229, -758648663
-940115229, -758648663, -385822213
-758648663, -385822213, -1929546255
-385822213, -1929546255, -1662426669
-1929546255, -1662426669, -1198578311
-1662426669, -1198578311, -819564437
-1198578311, -819564437, -572632767
-819564437, -572632767, -354683965
-572632767, -354683965, -1269376183
-354683965, -1269376183, -129134117
-1269376183, -129134117, -87837295
-129134117, -87837295, -1512300365
-87837295, -1512300365, -1840815591
-1512300365, -1840815591, -1729157557
-1840815591, -1729157557, -250055967
-1729157557, -250055967, -970303325
-250055967, -970303325, -1423832599
-970303325, -1423832599, -1957749317
-1423832599, -1957749317, -1079486159
-1957749317, -1079486159, -1742074989
-1079486159, -1742074989, -737074503
-1742074989, -737074503, -1628674005
-737074503, -1628674005, -990889855
-1628674005, -990889855, -2024691325
-990889855, -2024691325, -1082655607
-2024691325, -1082655607, -1158613605
-1082655607, -1158613605, -1502748463
-1158613605, -1502748463, -736451981
-1502748463, -736451981, -1631393959
-736451981, -1631393959, -1012812277
-1631393959, -1012812277, -2131746271
-1012812277, -2131746271, -1527683485
-2131746271, -1527683485, -717802711
-1527683485, -717802711, -1295083141
-717802711, -1295083141, -1310274447
-1295083141, -1310274447, -500865709
-1310274447, -500865709, -1950142471
-500865709, -1950142471, -750612501
-1950142471, -750612501, -1984778303
-750612501, -1984778303, -858190013
-1984778303, -858190013, -171037239
-858190013, -171037239, -1892447909
-171037239, -1892447909, -1225417711
-1892447909, -1225417711, -1057893325
-1225417711, -1057893325, -1761051495
-1057893325, -1761051495, -1045269045
-1761051495, -1045269045, -1159569055
-1045269045, -1159569055, -1844960221
-1159569055, -1844960221, -633639831
-1844960221, -633639831, -82098885
-633639831, -82098885, -1232285775
-82098885, -1232285775, -212373741
-1232285775, -212373741, -921088711
-212373741, -921088711, -1467684949
-921088711, -1467684949, -516311295
-1467684949, -516311295, -626121469
-516311295, -626121469, -1257410807
-626121469, -1257410807, -1909371621
-1257410807, -1909371621, -139532463
-1909371621, -139532463, -832719373
-139532463, -832719373, -1593040423
-832719373, -1593040423, -2063768181
-1593040423, -2063768181, -192728927
-2063768181, -192728927, -1909812765
-192728927, -1909812765, -1134381655
-1909812765, -1134381655, -355393285
-1134381655, -355393285, -512859407
-355393285, -512859407, -2026100525
-512859407, -2026100525, -1098417543
-2026100525, -1098417543, -1240502421
-1098417543, -1240502421, -1852223935
-1240502421, -1852223935, -2096305469
-1852223935, -2096305469, -202784695
-2096305469, -202784695, -1677311781
-202784695, -1677311781, -1796357487
-1677311781, -1796357487, -2124789837
-1796357487, -2124789837, -876488935
-2124789837, -876488935, -1168210613
-876488935, -1168210613, -1268346911
-1168210613, -1268346911, -1391153245
-1268346911, -1391153245, -1226764567
-1391153245, -1226764567, -1282659141
-1226764567, -1282659141, -950041039
-1282659141, -950041039, -598764909
-950041039, -598764909, -1484671047
-598764909, -1484671047, -1371658453
-1484671047, -1371658453, -1310362239
-1371658453, -1310362239, -1959698301
-1310362239, -1959698301, -2112413303
-1959698301, -2112413303, -1479646053
-2112413303, -1479646053, -603574831
-1479646053, -603574831, -1042052749
-603574831, -1042052749, -820143015
-1042052749, -820143015, -1984834293
-820143015, -1984834293, -232751327
-1984834293, -232751327, -712868509
-232751327, -712868509, -34965463
-712868509, -34965463, -236427141
-34965463, -236427141, -1103873679
-236427141, -1103873679, -200430509
-1103873679, -200430509, -2005138183
-200430509, -2005138183, -1637019925
-2005138183, -1637019925, -365810495
-1637019925, -365810495, -346585533
-365810495, -346585533, -934702391
-346585533, -934702391, -341460901
-934702391, -341460901, -78894831
-341460901, -78894831, -1695188173
-78894831, -1695188173, -871140967
-1695188173, -871140967, -707570485
-871140967, -707570485, -700121503
-707570485, -700121503, -2127561949
-700121503, -2127561949, -21827223
-2127561949, -21827223, -310258629
-21827223, -310258629, -1665106767
-310258629, -1665106767, -755861997
-1665106767, -755861997, -286629319
-755861997, -286629319, -1359468885
-286629319, -1359468885, -1282182143
-1359468885, -1282182143, -1900323837
-1282182143, -1900323837, -2009787383
-1900323837, -2009787383, -1398260709
-2009787383, -1398260709, -1038896047
-1398260709, -1038896047, -91480845
-1038896047, -91480845, -1936238887
-91480845, -1936238887, -56687477
-1936238887, -56687477, -93844063
-56687477, -93844063, -52877085
-93844063, -52877085, -1620149591
-52877085, -1620149591, -655069189
-1620149591, -655069189, -86487055
-655069189, -86487055, -1065750573
