x, y, z
-954829434, -2881920097, -2928349668
-2881920097, -2928349668, -3440437619
-2928349668, -3440437619, -2638994238
-3440437619, -2638994238, -4185342005
-2638994238, -4185342005, -102208776
-4185342005, -102208776, -797837607
-102208776, -797837607, -2880850370
-797837607, -2880850370, -3064428745
-2880850370, -3064428745, -4191485932
-3064428745, -4191485932, -343846811
-4191485932, -343846811, -232610310
-343846811, -232610310, -1743641117
-232610310, -1743641117, -1694774928
-1743641117, -1694774928, -1505185999
-1694774928, -1505185999, -1152864266
-1505185999, -1152864266, -2905192497
-1152864266, -2905192497, -777116916
-2905192497, -777116916, -2770804931
-777116916, -2770804931, -2227187662
-2770804931, -2227187662, -2664900357
-2227187662, -2664900357, -1786402584
-2664900357, -1786402584, -2718700407
-1786402584, -2718700407, -3086859602
-2718700407, -3086859602, -3894606489
-3086859602, -3894606489, -783141116
-3894606489, -783141116, -2900810987
-783141116, -2900810987, -2848160918
-2900810987, -2848160918, -2982069997
-2848160918, -2982069997, -1991513760
-2982069997, -1991513760, -3794727199
-1991513760, -3794727199, -540455322
-3794727199, -540455322, -829743105
-540455322, -829743105, -1120986116
-829743105, -1120986116, -1137083411
-1120986116, -1137083411, -1737646174
-1137083411, -1737646174, -1920752085
-1737646174, -1920752085, -3513226536
-1920752085, -3513226536, -1764657607
-3513226536, -1764657607, -2469088482
-1764657607, -2469088482, -2861369449
-2469088482, -2861369449, -2556382732
-2861369449, -2556382732, -4001019451
-2556382732, -4001019451, -2016672550
-4001019451, -2016672550, -800292797
-2016672550, -800292797, -1648816816
-800292797, -1648816816, -2516942191
-1648816816, -2516942191, -641773354
-2516942191, -641773354, -3806663633
-641773354, -3806663633, -3006867220
-3806663633, -3006867220, -3504608099
-3006867220, -3504608099, -1636527342
-3504608099, -1636527342, -2740181157
-1636527342, -2740181157, -1501581112
-2740181157, -1501581112, -572156951
-1501581112, -572156951, -1660418162
-572156951, -1660418162, -511877689
-1660418162, -511877689, -3455749916
-511877689, -3455749916, -2425305995
-3455749916, -2425305995, -3789018550
-2425305995, -3789018550, -286852237
-3789018550, -286852237, -3359492800
-286852237, -3359492800, -465565119
-3359492800, -465565119, -728647866
-465565119, -728647866, -3430372257
-728647866, -3430372257, -712746532
-3430372257, -712746532, -3878997683
-712746532, -3878997683, -3425981822
-3878997683, -3425981822, -2500502389
-3425981822, -2500502389, -690324808
-2500502389, -690324808, -2427763303
-690324808, -2427763303, -249348098
-2427763303, -249348098, -761317385
-249348098, -761317385, -1381010476
-761317385, -1381010476, -3845745883
-1381010476, -3845745883, -1427639366
-3845745883, -1427639366, -2717668701
-1427639366, -2717668701, -3638140624
-2717668701, -3638140624, -3903019535
-3638140624, -3903019535, -236486218
-3903019535, -236486218, -703111025
-236486218, -703111025, -1195991348
-703111025, -1195991348, -3828200963
-1195991348, -3828200963, -3470137870
-3828200963, -3470137870, -2953689669
-3470137870, -2953689669, -2121807704
-2953689669, -2121807704, -4020401335
-2121807704, -4020401335, -3490882450
-4020401335, -3490882450, -1497659865
-3490882450, -1497659865, -2750563644
-1497659865, -2750563644, -692996651
-2750563644, -692996651, -3592265430
-692996651, -3592265430, -455766573
-3592265430, -455766573, -1679519456
-455766573, -1679519456, -2427759199
-1679519456, -2427759199, -1180192730
-2427759199, -1180192730, -934672193
-1180192730, -934672193, -2886948932
-934672193, -2886948932, -939772243
-2886948932, -939772243, -4000955038
-939772243, -4000955038, -831134997
-4000955038, -831134997, -3210306920
-831134997, -3210306920, -1078500103
-3210306920, -1078500103, -3247612706
-1078500103, -3247612706, -2366289833
-3247612706, -2366289833, -1295039052
-2366289833, -1295039052, -3563246459
-1295039052, -3563246459, -2396097894
-3563246459, -2396097894, -1915771645
-2396097894, -1915771645, -3921951472
-1915771645, -3921951472, -381216431
-3921951472, -381216431, -1980153194
-381216431, -1980153194, -52189969
-1980153194, -52189969, -252349268
-52189969, -252349268, -3047950499
-252349268, -3047950499, -2649241390
-3047950499, -2649241390, -4218211301
-2649241390, -4218211301, -2305429368
-4218211301, -2305429368, -2597072215
